ID,division,crime_category,crime,report_count
30988,D22,Other,Other,30
30989,D23,Property Offense,Other,90
30990,D31,Property Offense,Fraud,64
30991,D22,Other,Other,50
30992,D23,Property Offense,Other,94
30993,D31,Property Offense,Fraud,45
30994,D22,Other,Other,8
30995,D23,Property Offense,Other,6
30996,D22,Other,Other,37
30997,D23,Property Offense,Other,42
30998,D22,Other,Other,11
30999,D23,Property Offense,Other,32
31000,D22,Other,Other,52
31001,D23,Property Offense,Other,244
31002,D31,Property Offense,Fraud,98
31003,D22,Other,Other,25
31004,D23,Property Offense,Other,68
31005,D31,Property Offense,Fraud,62
31006,D22,Other,Other,120
31007,D23,Property Offense,Theft,2
31008,D31,Property Offense,Fraud,40
31009,D22,Other,Other,6
31010,D23,Property Offense,Theft,1
31011,D31,Property Offense,Fraud,6
31012,D22,Other,Other,49
31013,D23,Property Offense,Theft,6
31014,D31,Property Offense,Fraud,88
31015,D22,Other,Other,13
31016,D23,Property Offense,Theft,18
31017,D31,Property Offense,Fraud,12
31018,D22,Other,Other,46
31019,D23,Property Offense,Theft,1
31020,D31,Property Offense,Fraud,150
31021,D22,Other,Other,3
31022,D23,Property Offense,Theft,9
31023,D31,Property Offense,Other,116
31024,D22,Other,Other,2
31025,D23,Property Offense,Theft,2
31026,D31,Property Offense,Other,67
31027,D22,Other,Other,7
31028,D23,Property Offense,Theft,62
31029,D31,Property Offense,Other,132
31030,D22,Other,Other,18
31031,D23,Property Offense,Theft,5
31032,D31,Property Offense,Other,88
31033,D22,Other,Other,4
31034,D23,Property Offense,Theft,14
31035,D31,Property Offense,Other,56
31036,D22,Other,Other,4
31037,D23,Property Offense,Theft,130
31038,D31,Property Offense,Other,19
31039,D22,Other,Other,9
31040,D31,Property Offense,Other,188
31041,D23,Property Offense,Theft,1
31042,D31,Property Offense,Other,31
31043,D22,Other,Other,5
31044,D31,Property Offense,Other,183
31045,D22,Other,Other,3
31046,D31,Property Offense,Theft,8
31047,D22,Other,Other,69
31048,D31,Property Offense,Theft,11
31049,D23,Property Offense,Theft,43
31050,D22,Other,Other,9
31051,D31,Property Offense,Theft,11
31052,D23,Property Offense,Theft,178
31053,D22,Other,Other,8
31054,D31,Property Offense,Theft,23
31055,D23,Property Offense,Theft,414
31056,D22,Other,Other,1
31057,D31,Property Offense,Theft,9
31058,D23,Property Offense,Theft,6
31059,D22,Other,Other,1
31060,D31,Property Offense,Theft,3
31061,D23,Property Offense,Theft,1
31062,D22,Other,Other,1
31063,D31,Property Offense,Theft,20
31064,D23,Property Offense,Theft,98
31065,D22,Other,Other,1
31066,D31,Property Offense,Theft,6
31067,D23,Property Offense,Theft,69
31068,D22,Other,Other,1
31069,D31,Property Offense,Theft,31
31070,D23,Property Offense,Theft,938
31071,D22,Other,Other,2
31072,D31,Property Offense,Theft,265
31073,D23,Property Offense,Theft,225
31074,D22,Other,Other,2
31075,D31,Property Offense,Theft,150
31076,D23,Personal Offense,Assault,1
31077,D23,Controlled Substances,Other,6
31078,D31,Property Offense,Theft,240
31079,D23,Personal Offense,Assault,55
31080,D23,Controlled Substances,Other,1
31081,D23,Personal Offense,Assault,25
31082,D23,Controlled Substances,Other,1
31083,D23,Personal Offense,Assault,115
31084,D31,Property Offense,Theft,253
31085,D23,Controlled Substances,Other,7
31086,D23,Personal Offense,Assault,236
31087,D31,Property Offense,Theft,136
31088,D23,Controlled Substances,Other,2
31089,D23,Personal Offense,Assault,5
31090,D31,Property Offense,Theft,30
31091,D23,Personal Offense,Assault,1
31092,D31,Property Offense,Theft,499
31093,D23,Personal Offense,Assault,56
31094,D31,Property Offense,Theft,47
31095,D23,Personal Offense,Assault,1
31096,D31,Property Offense,Theft,375
31097,D23,Personal Offense,Assault,45
31098,D31,Personal Offense,Assault,184
31099,D23,Personal Offense,Assault,251
31100,D23,Personal Offense,Assault,92
31101,D23,Controlled Substances,Other,5
31102,D23,Personal Offense,Attempt Murder,3
31103,D23,Controlled Substances,Other,20
31104,D23,Personal Offense,Attempt Murder,1
31105,D23,Controlled Substances,Other,3
31106,D23,Property Offense,Theft,17
31107,D23,Property Offense,Theft,61
31108,D23,Property Offense,Theft,29
31109,D23,Property Offense,Theft,1
31110,D23,Property Offense,Theft,118
31111,D23,Property Offense,Theft,120
31112,D23,Property Offense,Theft,14
31113,D23,Property Offense,Theft,55
31114,D23,Property Offense,Theft,55
31115,D23,Property Offense,Theft,773
31116,D23,Property Offense,Theft,104
31117,D23,Property Offense,Break & Enter,3
31118,D23,Property Offense,Break & Enter,3
31119,D23,Property Offense,Break & Enter,6
31120,D23,Property Offense,Break & Enter,4
31121,D23,Property Offense,Break & Enter,14
31122,D23,Property Offense,Break & Enter,6
31123,D23,Property Offense,Break & Enter,1
31124,D23,Property Offense,Break & Enter,9
31125,D23,Property Offense,Break & Enter,6
31126,D23,Property Offense,Break & Enter,1
31127,D23,Property Offense,Break & Enter,2
31128,D23,Property Offense,Break & Enter,4
31129,D23,Property Offense,Break & Enter,3
31130,D23,Property Offense,Break & Enter,12
31131,D23,Property Offense,Break & Enter,103
31132,D23,Property Offense,Break & Enter,8
31133,D23,Property Offense,Break & Enter,4
31134,D23,Property Offense,Break & Enter,4
31135,D23,Property Offense,Break & Enter,5
31136,D23,Property Offense,Break & Enter,8
31137,D23,Property Offense,Break & Enter,6
31138,D23,Property Offense,Break & Enter,2
31139,D23,Property Offense,Break & Enter,18
31140,D23,Property Offense,Break & Enter,9
31141,D23,Property Offense,Break & Enter,1
31142,D23,Property Offense,Break & Enter,3
31143,D23,Property Offense,Break & Enter,7
31144,D23,Property Offense,Break & Enter,2
31145,D23,Property Offense,Break & Enter,6
31146,D23,Property Offense,Break & Enter,4
31147,D23,Property Offense,Fraud,5
31148,D23,Property Offense,Fraud,44
31149,D23,Property Offense,Fraud,20
31150,D23,Property Offense,Fraud,66
31151,D23,Property Offense,Fraud,136
31152,D23,Personal Offense,Other,15
31153,D23,Personal Offense,Other,9
31154,D23,Personal Offense,Other,21
31155,D23,Personal Offense,Other,42
31156,D23,Personal Offense,Other,15
31157,D23,Personal Offense,Other,8
31158,D23,Personal Offense,Other,55
31159,D23,Personal Offense,Other,18
31160,D23,Personal Offense,Robbery,3
31161,D23,Personal Offense,Robbery,1
31162,D23,Personal Offense,Robbery,2
31163,D23,Personal Offense,Robbery,11
31164,D23,Personal Offense,Robbery,7
31165,D23,Personal Offense,Robbery,1
31166,D23,Personal Offense,Robbery,9
31167,D23,Personal Offense,Robbery,45
31168,D23,Personal Offense,Robbery,1
31169,D23,Personal Offense,Robbery,11
31170,D23,Personal Offense,Robbery,15
31171,D23,Personal Offense,Robbery,51
31172,D23,Personal Offense,Robbery,13
31173,D23,Personal Offense,Sexual Violation,2
31174,D23,Personal Offense,Sexual Violation,7
31175,D23,Personal Offense,Sexual Violation,5
31176,D23,Personal Offense,Sexual Violation,17
31177,D23,Personal Offense,Sexual Violation,44
31178,D23,Personal Offense,Sexual Violation,2
31179,D23,Personal Offense,Sexual Violation,8
31180,D23,Personal Offense,Sexual Violation,8
31181,D23,Personal Offense,Sexual Violation,26
31182,D23,Personal Offense,Sexual Violation,11
31183,D23,Traffic Violation,Other,3
31184,D23,Traffic Violation,Other,6
31185,D23,Traffic Violation,Other,2
31186,D23,Traffic Violation,Other,3
31187,D23,Traffic Violation,Other,6
31188,D23,Traffic Violation,Other,21
31189,D23,Traffic Violation,Other,4
31190,D23,Traffic Violation,Other,4
31191,D23,Traffic Violation,Other,2
31192,D23,Traffic Violation,Other,15
31193,D23,Traffic Violation,Other,56
31194,D23,Traffic Violation,Other,10
31195,D23,Other,Other,2
31196,D23,Other,Other,24
31197,D23,Other,Other,10
31198,D23,Other,Other,21
31199,D23,Other,Other,31
31200,D23,Other,Other,115
31201,D32,Property Offense,Other,101
31202,D32,Property Offense,Break & Enter,14
31203,D32,Property Offense,Break & Enter,1
31204,D32,Property Offense,Other,67
31205,D32,Property Offense,Break & Enter,3
31206,D32,Property Offense,Other,83
31207,D32,Property Offense,Theft,9
31208,D31,Other,Other,120
31209,D32,Personal Offense,Assault,61
31210,D32,Other,Other,36
31211,D32,Property Offense,Theft,147
31212,D32,Property Offense,Break & Enter,3
31213,D31,Other,Other,1
31214,D33,Property Offense,Theft,29
31215,D32,Property Offense,Break & Enter,2
31216,D32,Other,Other,12
31217,D32,Personal Offense,Assault,60
31218,D32,Property Offense,Theft,6
31219,D32,Property Offense,Break & Enter,1
31220,D31,Other,Other,9
31221,D33,Property Offense,Theft,16
31222,D32,Personal Offense,Assault,28
31223,D32,Property Offense,Break & Enter,9
31224,D32,Other,Other,16
31225,D32,Property Offense,Theft,6
31226,D32,Property Offense,Break & Enter,2
31227,D31,Other,Other,169
31228,D33,Property Offense,Theft,7
31229,D32,Personal Offense,Assault,2
31230,D32,Property Offense,Break & Enter,2
31231,D32,Other,Other,23
31232,D32,Property Offense,Theft,2
31233,D32,Property Offense,Break & Enter,2
31234,D31,Other,Other,9
31235,D33,Property Offense,Theft,40
31236,D32,Personal Offense,Robbery,6
31237,D32,Personal Offense,Assault,7
31238,D32,Property Offense,Break & Enter,2
31239,D32,Other,Other,6
31240,D32,Property Offense,Theft,10
31241,D32,Property Offense,Break & Enter,1
31242,D31,Other,Other,99
31243,D33,Property Offense,Theft,26
31244,D32,Personal Offense,Assault,68
31245,D32,Personal Offense,Robbery,23
